PERMNO,date,TICKER,PRC,RETX
10107,01/08/2015,MSFT,47.59000,0.029418
10107,01/09/2015,MSFT,47.19000,-0.008405
10107,01/12/2015,MSFT,46.60000,-0.012503
10107,01/13/2015,MSFT,46.35500,-0.005257
10107,01/14/2015,MSFT,45.95500,-0.008629
10107,01/15/2015,MSFT,45.48000,-0.010336
10107,01/16/2015,MSFT,46.24000,0.016711
10107,01/20/2015,MSFT,46.39000,0.003244
10107,01/21/2015,MSFT,45.92000,-0.010132
10107,01/22/2015,MSFT,47.13000,0.026350
10107,01/23/2015,MSFT,47.18000,0.001061
10107,01/26/2015,MSFT,47.01000,-0.003603
10107,01/27/2015,MSFT,42.66000,-0.092533
10107,01/28/2015,MSFT,41.19000,-0.034459
10107,01/29/2015,MSFT,42.01000,0.019908
10107,01/30/2015,MSFT,40.40000,-0.038324
10107,02/02/2015,MSFT,41.28000,0.021782
10107,02/03/2015,MSFT,41.60000,0.007752
10107,02/04/2015,MSFT,41.84000,0.005769
10107,02/05/2015,MSFT,42.45000,0.014579
10107,02/06/2015,MSFT,42.41000,-0.000942
10107,02/09/2015,MSFT,42.36000,-0.001179
10107,02/10/2015,MSFT,42.60000,0.005666
10107,02/11/2015,MSFT,42.38000,-0.005164
10107,02/12/2015,MSFT,43.09000,0.016753
10107,02/13/2015,MSFT,43.87000,0.018102
10107,02/17/2015,MSFT,43.58000,-0.006610
10107,02/18/2015,MSFT,43.53000,-0.001147
10107,02/19/2015,MSFT,43.50000,-0.000689
10107,02/20/2015,MSFT,43.85500,0.008161
10107,02/23/2015,MSFT,44.15000,0.006727
10107,02/24/2015,MSFT,44.09000,-0.001359
10107,02/25/2015,MSFT,43.99000,-0.002268
10107,02/26/2015,MSFT,44.05500,0.001478
10107,02/27/2015,MSFT,43.85000,-0.004653
10107,03/02/2015,MSFT,43.88000,0.000684
10107,03/03/2015,MSFT,43.28000,-0.013674
10107,03/04/2015,MSFT,43.05500,-0.005199
10107,03/05/2015,MSFT,43.11000,0.001277
10107,03/06/2015,MSFT,42.36000,-0.017397
10107,03/09/2015,MSFT,42.85000,0.011567
10107,03/10/2015,MSFT,42.03000,-0.019137
10107,03/11/2015,MSFT,41.98000,-0.001190
10107,03/12/2015,MSFT,41.02000,-0.022868
10107,03/13/2015,MSFT,41.38000,0.008776
10107,03/16/2015,MSFT,41.56000,0.004350
10107,03/17/2015,MSFT,41.69500,0.003248
10107,03/18/2015,MSFT,42.50000,0.019307
10107,03/19/2015,MSFT,42.28500,-0.005059
10107,03/20/2015,MSFT,42.88000,0.014071
10107,03/23/2015,MSFT,42.85500,-0.000583
10107,03/24/2015,MSFT,42.90000,0.001050
10107,03/25/2015,MSFT,41.46000,-0.033566
10107,03/26/2015,MSFT,41.21000,-0.006030
10107,03/27/2015,MSFT,40.97000,-0.005824
10107,03/30/2015,MSFT,40.96000,-0.000244
10107,03/31/2015,MSFT,40.65500,-0.007446
10107,04/01/2015,MSFT,40.72000,0.001599
10107,04/02/2015,MSFT,40.29000,-0.010560
10107,04/06/2015,MSFT,41.54500,0.031149
10107,04/07/2015,MSFT,41.53000,-0.000361
10107,04/08/2015,MSFT,41.42000,-0.002649
10107,04/09/2015,MSFT,41.48000,0.001449
10107,04/10/2015,MSFT,41.72000,0.005786
10107,04/13/2015,MSFT,41.76000,0.000959
10107,04/14/2015,MSFT,41.65000,-0.002634
10107,04/15/2015,MSFT,42.25500,0.014526
10107,04/16/2015,MSFT,42.16000,-0.002248
10107,04/17/2015,MSFT,41.61500,-0.012927
10107,04/20/2015,MSFT,42.90500,0.030998
10107,04/21/2015,MSFT,42.63500,-0.006293
10107,04/22/2015,MSFT,42.98500,0.008209
10107,04/23/2015,MSFT,43.34000,0.008259
10107,04/24/2015,MSFT,47.87000,0.104522
10107,04/27/2015,MSFT,48.03000,0.003342
10107,04/28/2015,MSFT,49.15500,0.023423
10107,04/29/2015,MSFT,49.06000,-0.001933
10107,04/30/2015,MSFT,48.64000,-0.008561
10107,05/01/2015,MSFT,48.65500,0.000308
10107,05/04/2015,MSFT,48.24000,-0.008529
10107,05/05/2015,MSFT,47.60000,-0.013267
10107,05/06/2015,MSFT,46.28000,-0.027731
10107,05/07/2015,MSFT,46.70000,0.009075
10107,05/08/2015,MSFT,47.75000,0.022484
10107,05/11/2015,MSFT,47.37000,-0.007958
10107,05/12/2015,MSFT,47.35000,-0.000422
10107,05/13/2015,MSFT,47.62500,0.005808
10107,05/14/2015,MSFT,48.72000,0.022992
10107,05/15/2015,MSFT,48.29500,-0.008723
10107,05/18/2015,MSFT,48.01000,-0.005901
10107,05/19/2015,MSFT,47.58000,-0.008956
10107,05/20/2015,MSFT,47.58000,0.000000
10107,05/21/2015,MSFT,47.42000,-0.003363
10107,05/22/2015,MSFT,46.90000,-0.010966
10107,05/26/2015,MSFT,46.59000,-0.006610
10107,05/27/2015,MSFT,47.61000,0.021893
10107,05/28/2015,MSFT,47.45000,-0.003361
10107,05/29/2015,MSFT,46.86000,-0.012434
10107,06/01/2015,MSFT,47.23000,0.007896
10107,06/02/2015,MSFT,46.92000,-0.006564
10107,06/03/2015,MSFT,46.85000,-0.001492
10107,06/04/2015,MSFT,46.36000,-0.010459
10107,06/05/2015,MSFT,46.14000,-0.004745
10107,06/08/2015,MSFT,45.73000,-0.008886
10107,06/09/2015,MSFT,45.65000,-0.001749
10107,06/10/2015,MSFT,46.61000,0.021030
10107,06/11/2015,MSFT,46.44000,-0.003647
10107,06/12/2015,MSFT,45.97000,-0.010121
10107,06/15/2015,MSFT,45.47500,-0.010768
10107,06/16/2015,MSFT,45.83000,0.007807
10107,06/17/2015,MSFT,45.97000,0.003055
10107,06/18/2015,MSFT,46.72000,0.016315
10107,06/19/2015,MSFT,46.10000,-0.013271
10107,06/22/2015,MSFT,46.23000,0.002820
10107,06/23/2015,MSFT,45.91000,-0.006922
10107,06/24/2015,MSFT,45.63500,-0.005990
10107,06/25/2015,MSFT,45.65000,0.000329
10107,06/26/2015,MSFT,45.26000,-0.008543
10107,06/29/2015,MSFT,44.37000,-0.019664
10107,06/30/2015,MSFT,44.15000,-0.004958
10107,07/01/2015,MSFT,44.44500,0.006682
10107,07/02/2015,MSFT,44.40000,-0.001012
10107,07/06/2015,MSFT,44.39000,-0.000225
10107,07/07/2015,MSFT,44.30000,-0.002027
10107,07/08/2015,MSFT,44.24000,-0.001354
10107,07/09/2015,MSFT,44.52000,0.006329
10107,07/10/2015,MSFT,44.61000,0.002022
10107,07/13/2015,MSFT,45.54000,0.020847
10107,07/14/2015,MSFT,45.62000,0.001757
10107,07/15/2015,MSFT,45.76000,0.003069
10107,07/16/2015,MSFT,46.66000,0.019668
10107,07/17/2015,MSFT,46.62000,-0.000857
10107,07/20/2015,MSFT,46.92000,0.006435
10107,07/21/2015,MSFT,47.28000,0.007673
10107,07/22/2015,MSFT,45.54000,-0.036802
10107,07/23/2015,MSFT,46.11000,0.012516
10107,07/24/2015,MSFT,45.94000,-0.003687
10107,07/27/2015,MSFT,45.35000,-0.012843
10107,07/28/2015,MSFT,45.34000,-0.000220
10107,07/29/2015,MSFT,46.29000,0.020953
10107,07/30/2015,MSFT,46.88000,0.012746
10107,07/31/2015,MSFT,46.70000,-0.003840
10107,08/03/2015,MSFT,46.81000,0.002355
10107,08/04/2015,MSFT,47.54000,0.015595
10107,08/05/2015,MSFT,47.58000,0.000841
10107,08/06/2015,MSFT,46.62000,-0.020177
10107,08/07/2015,MSFT,46.74000,0.002574
10107,08/10/2015,MSFT,47.33000,0.012623
10107,08/11/2015,MSFT,46.41000,-0.019438
10107,08/12/2015,MSFT,46.74000,0.007111
10107,08/13/2015,MSFT,46.73000,-0.000214
10107,08/14/2015,MSFT,47.00000,0.005778
10107,08/17/2015,MSFT,47.32000,0.006809
10107,08/18/2015,MSFT,47.27000,-0.001057
10107,08/19/2015,MSFT,46.61000,-0.013962
10107,08/20/2015,MSFT,45.66000,-0.020382
10107,08/21/2015,MSFT,43.07000,-0.056724
10107,08/24/2015,MSFT,41.68000,-0.032273
10107,08/25/2015,MSFT,40.47000,-0.029031
