secid,date,days,volatility,index_flag
143439,21/09/2018,122,0.576785,0
143439,21/09/2018,152,0.541523,0
143439,21/09/2018,182,0.570661,0
143439,21/09/2018,273,0.515789,0
143439,21/09/2018,365,0.474776,0
143439,21/09/2018,547,0.445207,0
143439,21/09/2018,730,0.416494,0
143439,21/09/2018,1825,0.441821,0
143439,24/09/2018,10,0.417634,0
143439,24/09/2018,14,0.397414,0
143439,24/09/2018,30,0.51941,0
143439,24/09/2018,60,0.67341,0
143439,24/09/2018,91,0.59334,0
143439,24/09/2018,122,0.58319,0
143439,24/09/2018,152,0.545153,0
143439,24/09/2018,182,0.570532,0
143439,24/09/2018,273,0.514416,0
143439,24/09/2018,365,0.472898,0
143439,24/09/2018,547,0.444441,0
143439,24/09/2018,730,0.416883,0
143439,24/09/2018,1825,0.442072,0
143439,25/09/2018,10,0.381408,0
143439,25/09/2018,14,0.369742,0
143439,25/09/2018,30,0.507032,0
143439,25/09/2018,60,0.668923,0
143439,25/09/2018,91,0.590687,0
143439,25/09/2018,122,0.579698,0
143439,25/09/2018,152,0.544591,0
143439,25/09/2018,182,0.557341,0
143439,25/09/2018,273,0.513673,0
143439,25/09/2018,365,0.472619,0
143439,25/09/2018,547,0.443938,0
143439,25/09/2018,730,0.416476,0
143439,25/09/2018,1825,0.442004,0
143439,26/09/2018,10,0.380731,0
143439,26/09/2018,14,0.347224,0
143439,26/09/2018,30,0.51758,0
143439,26/09/2018,60,0.664222,0
143439,26/09/2018,91,0.593489,0
143439,26/09/2018,122,0.578141,0
143439,26/09/2018,152,0.544398,0
143439,26/09/2018,182,0.546771,0
143439,26/09/2018,273,0.514307,0
143439,26/09/2018,365,0.473487,0
143439,26/09/2018,547,0.444009,0
143439,26/09/2018,730,0.4169,0
143439,26/09/2018,1825,0.442148,0
143439,27/09/2018,10,0.385628,0
143439,27/09/2018,14,0.349928,0
143439,27/09/2018,30,0.511815,0
143439,27/09/2018,60,0.656529,0
143439,27/09/2018,91,0.592517,0
143439,27/09/2018,122,0.57489,0
143439,27/09/2018,152,0.541912,0
143439,27/09/2018,182,0.545162,0
143439,27/09/2018,273,0.514177,0
143439,27/09/2018,365,0.473375,0
143439,27/09/2018,547,0.444045,0
143439,27/09/2018,730,0.416777,0
143439,27/09/2018,1825,0.441984,0
143439,28/09/2018,10,0.947152,0
143439,28/09/2018,14,0.846211,0
143439,28/09/2018,30,0.72535,0
143439,28/09/2018,60,0.749016,0
143439,28/09/2018,91,0.661245,0
143439,28/09/2018,122,0.629428,0
143439,28/09/2018,152,0.586481,0
143439,28/09/2018,182,0.583079,0
143439,28/09/2018,273,0.542369,0
143439,28/09/2018,365,0.496343,0
143439,28/09/2018,547,0.460612,0
143439,28/09/2018,730,0.430143,0
143439,28/09/2018,1825,0.446876,0
143439,1/10/18,10,1.565243,0
143439,1/10/18,14,1.20747,0
143439,1/10/18,30,0.951033,0
143439,1/10/18,60,0.77616,0
143439,1/10/18,91,0.73689,0
143439,1/10/18,122,0.691014,0
143439,1/10/18,152,0.641692,0
143439,1/10/18,182,0.620433,0
143439,1/10/18,273,0.571916,0
143439,1/10/18,365,0.521766,0
143439,1/10/18,547,0.4788,0
143439,1/10/18,730,0.444535,0
143439,1/10/18,1825,0.451939,0
143439,2/10/18,10,1.446934,0
143439,2/10/18,14,1.205311,0
143439,2/10/18,30,0.934029,0
143439,2/10/18,60,0.779434,0
143439,2/10/18,91,0.724237,0
143439,2/10/18,122,0.68915,0
143439,2/10/18,152,0.637384,0
143439,2/10/18,182,0.617005,0
143439,2/10/18,273,0.572076,0
143439,2/10/18,365,0.5227,0
143439,2/10/18,547,0.47608,0
143439,2/10/18,730,0.444686,0
143439,2/10/18,1825,0.451746,0
143439,3/10/18,10,1.345173,0
143439,3/10/18,14,1.186544,0
143439,3/10/18,30,0.914228,0
143439,3/10/18,60,0.771039,0
143439,3/10/18,91,0.719602,0
143439,3/10/18,122,0.686048,0
143439,3/10/18,152,0.636158,0
143439,3/10/18,182,0.609888,0
143439,3/10/18,273,0.572453,0
143439,3/10/18,365,0.522721,0
143439,3/10/18,547,0.476177,0
143439,3/10/18,730,0.443776,0
143439,3/10/18,1825,0.451439,0
143439,4/10/18,10,1.366092,0
143439,4/10/18,14,1.206615,0
143439,4/10/18,30,0.915324,0
143439,4/10/18,60,0.768253,0
143439,4/10/18,91,0.724876,0
143439,4/10/18,122,0.689744,0
143439,4/10/18,152,0.636914,0
