date,short sell_unscaled,short sell_monthly,isPartial,scale,short sell
2011-04-21,91,65.0,,0.65,59.15
2011-04-22,37,65.0,,0.65,24.05
2011-04-23,73,65.0,,0.65,47.45
2011-04-24,62,65.0,,0.65,40.300000000000004
2011-04-25,100,65.0,,0.65,65.0
2011-04-26,75,65.0,,0.65,48.75
2011-04-27,76,65.0,,0.65,49.4
2011-04-28,55,65.0,,0.65,35.75
2011-04-29,23,65.0,,0.65,14.950000000000001
2011-04-30,29,65.0,,0.65,18.85
2011-05-01,26,57.0,False,0.57,14.819999999999999
2011-05-02,38,57.0,,0.57,21.659999999999997
2011-05-03,58,57.0,,0.57,33.059999999999995
2011-05-04,59,57.0,,0.57,33.629999999999995
2011-05-05,20,57.0,,0.57,11.399999999999999
2011-05-06,43,57.0,,0.57,24.509999999999998
2011-05-07,27,57.0,,0.57,15.389999999999999
2011-05-08,0,57.0,,0.57,0.0
2011-05-09,60,57.0,,0.57,34.199999999999996
2011-05-10,59,57.0,,0.57,33.629999999999995
2011-05-11,100,57.0,,0.57,56.99999999999999
2011-05-12,79,57.0,,0.57,45.029999999999994
2011-05-13,21,57.0,,0.57,11.969999999999999
2011-05-14,52,57.0,,0.57,29.639999999999997
2011-05-15,26,57.0,,0.57,14.819999999999999
2011-05-16,39,57.0,,0.57,22.229999999999997
2011-05-17,78,57.0,,0.57,44.459999999999994
2011-05-18,39,57.0,,0.57,22.229999999999997
2011-05-19,60,57.0,,0.57,34.199999999999996
2011-05-20,62,57.0,,0.57,35.339999999999996
2011-05-21,0,57.0,,0.57,0.0
2011-05-22,80,57.0,,0.57,45.599999999999994
2011-05-23,40,57.0,,0.57,22.799999999999997
2011-05-24,79,57.0,,0.57,45.029999999999994
2011-05-25,59,57.0,,0.57,33.629999999999995
2011-05-26,20,57.0,,0.57,11.399999999999999
2011-05-27,65,57.0,,0.57,37.05
2011-05-28,28,57.0,,0.57,15.959999999999999
2011-05-29,29,57.0,,0.57,16.529999999999998
2011-05-30,52,57.0,,0.57,29.639999999999997
2011-05-31,60,57.0,,0.57,34.199999999999996
2011-06-01,26,63.0,False,0.63,16.38
2011-06-02,27,63.0,,0.63,17.01
2011-06-03,21,63.0,,0.63,13.23
