date,vaccine_unscaled,vaccine_monthly,isPartial,scale,vaccine
2011-04-02,72,12.0,,0.12,8.64
2011-04-03,41,12.0,,0.12,4.92
2011-04-04,76,12.0,,0.12,9.12
2011-04-05,100,12.0,,0.12,12.0
2011-04-06,85,12.0,,0.12,10.2
2011-04-07,91,12.0,,0.12,10.92
2011-04-08,67,12.0,,0.12,8.04
2011-04-09,39,12.0,,0.12,4.68
2011-04-10,53,12.0,,0.12,6.359999999999999
2011-04-11,98,12.0,,0.12,11.76
2011-04-12,68,12.0,,0.12,8.16
2011-04-13,85,12.0,,0.12,10.2
2011-04-14,73,12.0,,0.12,8.76
2011-04-15,81,12.0,,0.12,9.719999999999999
2011-04-16,54,12.0,,0.12,6.4799999999999995
2011-04-17,62,12.0,,0.12,7.4399999999999995
2011-04-18,72,12.0,,0.12,8.64
2011-04-19,86,12.0,,0.12,10.32
2011-04-20,79,12.0,,0.12,9.48
2011-04-21,63,12.0,,0.12,7.56
2011-04-22,78,12.0,,0.12,9.36
2011-04-23,42,12.0,,0.12,5.04
2011-04-24,45,12.0,,0.12,5.3999999999999995
2011-04-25,75,12.0,,0.12,9.0
2011-04-26,97,12.0,,0.12,11.639999999999999
2011-04-27,89,12.0,,0.12,10.68
2011-04-28,97,12.0,,0.12,11.639999999999999
2011-04-29,86,12.0,,0.12,10.32
2011-04-30,52,12.0,,0.12,6.24
2011-05-01,55,12.0,False,0.12,6.6
2011-05-02,48,12.0,,0.12,5.76
2011-05-03,96,12.0,,0.12,11.52
2011-05-04,77,12.0,,0.12,9.24
2011-05-05,80,12.0,,0.12,9.6
2011-05-06,71,12.0,,0.12,8.52
2011-05-07,36,12.0,,0.12,4.32
2011-05-08,61,12.0,,0.12,7.319999999999999
2011-05-09,76,12.0,,0.12,9.12
2011-05-10,88,12.0,,0.12,10.559999999999999
2011-05-11,74,12.0,,0.12,8.879999999999999
2011-05-12,79,12.0,,0.12,9.48
2011-05-13,67,12.0,,0.12,8.04
2011-05-14,54,12.0,,0.12,6.4799999999999995
2011-05-15,49,12.0,,0.12,5.88
2011-05-16,100,12.0,,0.12,12.0
2011-05-17,57,12.0,,0.12,6.84
2011-05-18,71,12.0,,0.12,8.52
2011-05-19,65,12.0,,0.12,7.8
2011-05-20,94,12.0,,0.12,11.28
2011-05-21,28,12.0,,0.12,3.36
2011-05-22,43,12.0,,0.12,5.16
2011-05-23,61,12.0,,0.12,7.319999999999999
2011-05-24,72,12.0,,0.12,8.64
2011-05-25,77,12.0,,0.12,9.24
2011-05-26,74,12.0,,0.12,8.879999999999999
2011-05-27,53,12.0,,0.12,6.359999999999999
2011-05-28,44,12.0,,0.12,5.279999999999999
2011-05-29,51,12.0,,0.12,6.12
2011-05-30,60,12.0,,0.12,7.199999999999999
2011-05-31,88,12.0,,0.12,10.559999999999999
2011-06-01,85,12.0,False,0.12,10.2
2011-06-02,100,12.0,,0.12,12.0
2011-06-03,86,12.0,,0.12,10.32
2011-06-04,58,12.0,,0.12,6.96
2011-06-05,49,12.0,,0.12,5.88
2011-06-06,62,12.0,,0.12,7.4399999999999995
2011-06-07,65,12.0,,0.12,7.8
2011-06-08,82,12.0,,0.12,9.84
2011-06-09,66,12.0,,0.12,7.92
2011-06-10,53,12.0,,0.12,6.359999999999999
2011-06-11,52,12.0,,0.12,6.24
2011-06-12,62,12.0,,0.12,7.4399999999999995
2011-06-13,75,12.0,,0.12,9.0
2011-06-14,83,12.0,,0.12,9.959999999999999
2011-06-15,77,12.0,,0.12,9.24
2011-06-16,98,12.0,,0.12,11.76
2011-06-17,76,12.0,,0.12,9.12
2011-06-18,63,12.0,,0.12,7.56
2011-06-19,40,12.0,,0.12,4.8
2011-06-20,77,12.0,,0.12,9.24
2011-06-21,70,12.0,,0.12,8.4
2011-06-22,78,12.0,,0.12,9.36
2011-06-23,91,12.0,,0.12,10.92
2011-06-24,67,12.0,,0.12,8.04
2011-06-25,48,12.0,,0.12,5.76
2011-06-26,55,12.0,,0.12,6.6
2011-06-27,90,12.0,,0.12,10.799999999999999
2011-06-28,82,12.0,,0.12,9.84
2011-06-29,78,12.0,,0.12,9.36
2011-06-30,64,12.0,,0.12,7.68
2011-07-01,66,12.0,False,0.12,7.92
2011-07-02,49,12.0,,0.12,5.88
2011-07-03,51,12.0,,0.12,6.12
2011-07-04,43,12.0,,0.12,5.16
2011-07-05,80,12.0,,0.12,9.6
2011-07-06,81,12.0,,0.12,9.719999999999999
2011-07-07,68,12.0,,0.12,8.16
2011-07-08,53,12.0,,0.12,6.359999999999999
2011-07-09,40,12.0,,0.12,4.8
2011-07-10,37,12.0,,0.12,4.4399999999999995
2011-07-11,76,12.0,,0.12,9.12
2011-07-12,61,12.0,,0.12,7.319999999999999
2011-07-13,86,12.0,,0.12,10.32
2011-07-14,76,12.0,,0.12,9.12
