date,leverage_unscaled,leverage_monthly,isPartial,scale,leverage
2011-02-02,46,47.0,,0.47,21.619999999999997
2011-02-03,46,47.0,,0.47,21.619999999999997
2011-02-04,42,47.0,,0.47,19.74
2011-02-05,48,47.0,,0.47,22.56
2011-02-06,34,47.0,,0.47,15.979999999999999
2011-02-07,50,47.0,,0.47,23.5
2011-02-08,52,47.0,,0.47,24.439999999999998
2011-02-09,59,47.0,,0.47,27.729999999999997
2011-02-10,42,47.0,,0.47,19.74
2011-02-11,43,47.0,,0.47,20.209999999999997
2011-02-12,43,47.0,,0.47,20.209999999999997
2011-02-13,36,47.0,,0.47,16.919999999999998
2011-02-14,36,47.0,,0.47,16.919999999999998
2011-02-15,65,47.0,,0.47,30.549999999999997
2011-02-16,38,47.0,,0.47,17.86
2011-02-17,70,47.0,,0.47,32.9
2011-02-18,38,47.0,,0.47,17.86
2011-02-19,50,47.0,,0.47,23.5
2011-02-20,35,47.0,,0.47,16.45
2011-02-21,56,47.0,,0.47,26.32
2011-02-22,35,47.0,,0.47,16.45
2011-02-23,100,47.0,,0.47,47.0
2011-02-24,68,47.0,,0.47,31.959999999999997
2011-02-25,39,47.0,,0.47,18.33
2011-02-26,46,47.0,,0.47,21.619999999999997
2011-02-27,46,47.0,,0.47,21.619999999999997
2011-02-28,55,47.0,,0.47,25.849999999999998
2011-03-01,55,46.0,False,0.46,25.3
2011-03-02,51,46.0,,0.46,23.46
2011-03-03,72,46.0,,0.46,33.120000000000005
2011-03-04,71,46.0,,0.46,32.660000000000004
2011-03-05,62,46.0,,0.46,28.52
2011-03-06,91,46.0,,0.46,41.86
2011-03-07,93,46.0,,0.46,42.78
2011-03-08,55,46.0,,0.46,25.3
2011-03-09,79,46.0,,0.46,36.34
2011-03-10,68,46.0,,0.46,31.28
2011-03-11,56,46.0,,0.46,25.76
2011-03-12,82,46.0,,0.46,37.72
2011-03-13,45,46.0,,0.46,20.7
2011-03-14,63,46.0,,0.46,28.98
2011-03-15,72,46.0,,0.46,33.120000000000005
2011-03-16,80,46.0,,0.46,36.800000000000004
2011-03-17,50,46.0,,0.46,23.0
