date,debt_unscaled,debt_monthly,isPartial,scale,debt
2011-04-18,84,48.0,,0.48,40.32
2011-04-19,80,48.0,,0.48,38.4
2011-04-20,78,48.0,,0.48,37.44
2011-04-21,77,48.0,,0.48,36.96
2011-04-22,48,48.0,,0.48,23.04
2011-04-23,51,48.0,,0.48,24.48
2011-04-24,48,48.0,,0.48,23.04
2011-04-25,63,48.0,,0.48,30.24
2011-04-26,64,48.0,,0.48,30.72
2011-04-27,73,48.0,,0.48,35.04
2011-04-28,61,48.0,,0.48,29.279999999999998
2011-04-29,53,48.0,,0.48,25.439999999999998
2011-04-30,38,48.0,,0.48,18.24
2011-05-01,56,43.0,False,0.43,24.08
2011-05-02,66,43.0,,0.43,28.38
2011-05-03,75,43.0,,0.43,32.25
2011-05-04,69,43.0,,0.43,29.669999999999998
2011-05-05,59,43.0,,0.43,25.37
2011-05-06,63,43.0,,0.43,27.09
2011-05-07,48,43.0,,0.43,20.64
2011-05-08,32,43.0,,0.43,13.76
2011-05-09,65,43.0,,0.43,27.95
2011-05-10,76,43.0,,0.43,32.68
2011-05-11,73,43.0,,0.43,31.39
2011-05-12,69,43.0,,0.43,29.669999999999998
2011-05-13,55,43.0,,0.43,23.65
2011-05-14,43,43.0,,0.43,18.49
2011-05-15,41,43.0,,0.43,17.63
2011-05-16,100,43.0,,0.43,43.0
2011-05-17,99,43.0,,0.43,42.57
2011-05-18,79,43.0,,0.43,33.97
2011-05-19,75,43.0,,0.43,32.25
2011-05-20,77,43.0,,0.43,33.11
2011-05-21,41,43.0,,0.43,17.63
2011-05-22,46,43.0,,0.43,19.78
2011-05-23,62,43.0,,0.43,26.66
2011-05-24,64,43.0,,0.43,27.52
2011-05-25,67,43.0,,0.43,28.81
2011-05-26,58,43.0,,0.43,24.94
2011-05-27,50,43.0,,0.43,21.5
2011-05-28,32,43.0,,0.43,13.76
2011-05-29,35,43.0,,0.43,15.049999999999999
2011-05-30,48,43.0,,0.43,20.64
2011-05-31,79,43.0,,0.43,33.97
2011-06-01,90,43.0,False,0.43,38.7
2011-06-02,71,43.0,,0.43,30.53
2011-06-03,75,43.0,,0.43,32.25
2011-06-04,48,43.0,,0.43,20.64
2011-06-05,52,43.0,,0.43,22.36
2011-06-06,71,43.0,,0.43,30.53
2011-06-07,70,43.0,,0.43,30.099999999999998
2011-06-08,76,43.0,,0.43,32.68
2011-06-09,67,43.0,,0.43,28.81
2011-06-10,70,43.0,,0.43,30.099999999999998
2011-06-11,42,43.0,,0.43,18.06
2011-06-12,53,43.0,,0.43,22.79
2011-06-13,71,43.0,,0.43,30.53
2011-06-14,74,43.0,,0.43,31.82
2011-06-15,76,43.0,,0.43,32.68
2011-06-16,73,43.0,,0.43,31.39
2011-06-17,61,43.0,,0.43,26.23
2011-06-18,52,43.0,,0.43,22.36
2011-06-19,56,43.0,,0.43,24.08
2011-06-20,67,43.0,,0.43,28.81
2011-06-21,76,43.0,,0.43,32.68
2011-06-22,80,43.0,,0.43,34.4
2011-06-23,75,43.0,,0.43,32.25
2011-06-24,72,43.0,,0.43,30.96
2011-06-25,43,43.0,,0.43,18.49
2011-06-26,55,43.0,,0.43,23.65
2011-06-27,75,43.0,,0.43,32.25
2011-06-28,80,43.0,,0.43,34.4
2011-06-29,97,43.0,,0.43,41.71
2011-06-30,100,43.0,,0.43,43.0
2011-07-01,21,100.0,False,1.0,21.0
2011-07-02,16,100.0,,1.0,16.0
2011-07-03,12,100.0,,1.0,12.0
2011-07-04,15,100.0,,1.0,15.0
2011-07-05,21,100.0,,1.0,21.0
2011-07-06,25,100.0,,1.0,25.0
2011-07-07,27,100.0,,1.0,27.0
2011-07-08,25,100.0,,1.0,25.0
2011-07-09,16,100.0,,1.0,16.0
2011-07-10,22,100.0,,1.0,22.0
2011-07-11,36,100.0,,1.0,36.0
2011-07-12,38,100.0,,1.0,38.0
2011-07-13,35,100.0,,1.0,35.0
2011-07-14,46,100.0,,1.0,46.0
2011-07-15,49,100.0,,1.0,49.0
2011-07-16,29,100.0,,1.0,29.0
2011-07-17,27,100.0,,1.0,27.0
2011-07-18,36,100.0,,1.0,36.0
2011-07-19,41,100.0,,1.0,41.0
2011-07-20,32,100.0,,1.0,32.0
2011-07-21,40,100.0,,1.0,40.0
2011-07-22,39,100.0,,1.0,39.0
2011-07-23,43,100.0,,1.0,43.0
2011-07-24,49,100.0,,1.0,49.0
2011-07-25,56,100.0,,1.0,56.0
2011-07-26,88,100.0,,1.0,88.0
2011-07-27,85,100.0,,1.0,85.0
2011-07-28,82,100.0,,1.0,82.0
2011-07-29,100,100.0,,1.0,100.0
2011-07-30,85,100.0,,1.0,85.0
2011-07-31,93,100.0,,1.0,93.0
2011-08-01,100,80.0,False,0.8,80.0
2011-08-02,94,80.0,,0.8,75.2
2011-08-03,45,80.0,,0.8,36.0
2011-08-04,31,80.0,,0.8,24.8
2011-08-05,24,80.0,,0.8,19.200000000000003
2011-08-06,37,80.0,,0.8,29.6
2011-08-07,25,80.0,,0.8,20.0
2011-08-08,33,80.0,,0.8,26.400000000000002
2011-08-09,27,80.0,,0.8,21.6
2011-08-10,22,80.0,,0.8,17.6
2011-08-11,20,80.0,,0.8,16.0
2011-08-12,16,80.0,,0.8,12.8
2011-08-13,13,80.0,,0.8,10.4
2011-08-14,12,80.0,,0.8,9.600000000000001
2011-08-15,17,80.0,,0.8,13.600000000000001
2011-08-16,18,80.0,,0.8,14.4
2011-08-17,17,80.0,,0.8,13.600000000000001
2011-08-18,18,80.0,,0.8,14.4
2011-08-19,17,80.0,,0.8,13.600000000000001
2011-08-20,12,80.0,,0.8,9.600000000000001
2011-08-21,14,80.0,,0.8,11.200000000000001
2011-08-22,14,80.0,,0.8,11.200000000000001
2011-08-23,17,80.0,,0.8,13.600000000000001
2011-08-24,19,80.0,,0.8,15.200000000000001
2011-08-25,16,80.0,,0.8,12.8
2011-08-26,16,80.0,,0.8,12.8
2011-08-27,12,80.0,,0.8,9.600000000000001
2011-08-28,11,80.0,,0.8,8.8
2011-08-29,16,80.0,,0.8,12.8
2011-08-30,16,80.0,,0.8,12.8
