date,portfolio_unscaled,portfolio_monthly,isPartial,scale,portfolio
2015-06-28,45,75.0,,0.75,33.75
2015-06-29,82,75.0,,0.75,61.5
2015-06-30,71,75.0,,0.75,53.25
2015-07-01,84,72.0,False,0.72,60.48
2015-07-02,67,72.0,,0.72,48.239999999999995
2015-07-03,59,72.0,,0.72,42.48
2015-07-04,39,72.0,,0.72,28.08
2015-07-05,38,72.0,,0.72,27.36
2015-07-06,71,72.0,,0.72,51.12
2015-07-07,100,72.0,,0.72,72.0
2015-07-08,90,72.0,,0.72,64.8
2015-07-09,86,72.0,,0.72,61.919999999999995
2015-07-10,72,72.0,,0.72,51.839999999999996
2015-07-11,54,72.0,,0.72,38.879999999999995
2015-07-12,38,72.0,,0.72,27.36
2015-07-13,93,72.0,,0.72,66.96
2015-07-14,87,72.0,,0.72,62.64
2015-07-15,91,72.0,,0.72,65.52
2015-07-16,95,72.0,,0.72,68.39999999999999
2015-07-17,70,72.0,,0.72,50.4
2015-07-18,50,72.0,,0.72,36.0
2015-07-19,56,72.0,,0.72,40.32
2015-07-20,97,72.0,,0.72,69.84
2015-07-21,86,72.0,,0.72,61.919999999999995
2015-07-22,99,72.0,,0.72,71.28
2015-07-23,87,72.0,,0.72,62.64
2015-07-24,72,72.0,,0.72,51.839999999999996
2015-07-25,51,72.0,,0.72,36.72
2015-07-26,43,72.0,,0.72,30.959999999999997
2015-07-27,87,72.0,,0.72,62.64
2015-07-28,84,72.0,,0.72,60.48
2015-07-29,84,72.0,,0.72,60.48
2015-07-30,77,72.0,,0.72,55.44
2015-07-31,84,72.0,,0.72,60.48
2015-08-01,44,76.0,False,0.76,33.44
2015-08-02,56,76.0,,0.76,42.56
2015-08-03,73,76.0,,0.76,55.480000000000004
2015-08-04,87,76.0,,0.76,66.12
2015-08-05,86,76.0,,0.76,65.36
2015-08-06,92,76.0,,0.76,69.92
2015-08-07,86,76.0,,0.76,65.36
2015-08-08,51,76.0,,0.76,38.76
2015-08-09,51,76.0,,0.76,38.76
2015-08-10,91,76.0,,0.76,69.16
2015-08-11,96,76.0,,0.76,72.96000000000001
2015-08-12,92,76.0,,0.76,69.92
2015-08-13,94,76.0,,0.76,71.44
2015-08-14,77,76.0,,0.76,58.52
2015-08-15,52,76.0,,0.76,39.52
2015-08-16,50,76.0,,0.76,38.0
2015-08-17,96,76.0,,0.76,72.96000000000001
2015-08-18,88,76.0,,0.76,66.88
2015-08-19,88,76.0,,0.76,66.88
2015-08-20,76,76.0,,0.76,57.76
2015-08-21,93,76.0,,0.76,70.68
2015-08-22,57,76.0,,0.76,43.32
2015-08-23,56,76.0,,0.76,42.56
2015-08-24,95,76.0,,0.76,72.2
2015-08-25,78,76.0,,0.76,59.28
2015-08-26,94,76.0,,0.76,71.44
2015-08-27,100,76.0,,0.76,76.0
2015-08-28,78,76.0,,0.76,59.28
2015-08-29,48,76.0,,0.76,36.480000000000004
2015-08-30,55,76.0,,0.76,41.8
2015-08-31,85,76.0,,0.76,64.6
2015-09-01,76,77.0,False,0.77,58.52
2015-09-02,73,77.0,,0.77,56.21
2015-09-03,82,77.0,,0.77,63.14
2015-09-04,80,77.0,,0.77,61.6
2015-09-05,52,77.0,,0.77,40.04
2015-09-06,52,77.0,,0.77,40.04
2015-09-07,41,77.0,,0.77,31.57
2015-09-08,86,77.0,,0.77,66.22
2015-09-09,90,77.0,,0.77,69.3
2015-09-10,84,77.0,,0.77,64.68
2015-09-11,83,77.0,,0.77,63.910000000000004
2015-09-12,54,77.0,,0.77,41.58
2015-09-13,55,77.0,,0.77,42.35
2015-09-14,82,77.0,,0.77,63.14
2015-09-15,67,77.0,,0.77,51.59
2015-09-16,86,77.0,,0.77,66.22
2015-09-17,78,77.0,,0.77,60.06
2015-09-18,89,77.0,,0.77,68.53
2015-09-19,49,77.0,,0.77,37.730000000000004
2015-09-20,54,77.0,,0.77,41.58
2015-09-21,86,77.0,,0.77,66.22
2015-09-22,76,77.0,,0.77,58.52
2015-09-23,100,77.0,,0.77,77.0
2015-09-24,82,77.0,,0.77,63.14
2015-09-25,74,77.0,,0.77,56.980000000000004
2015-09-26,53,77.0,,0.77,40.81
2015-09-27,54,77.0,,0.77,41.58
2015-09-28,91,77.0,,0.77,70.07000000000001
2015-09-29,78,77.0,,0.77,60.06
2015-09-30,100,77.0,,0.77,77.0
2015-10-01,81,76.0,False,0.76,61.56
2015-10-02,60,76.0,,0.76,45.6
2015-10-03,38,76.0,,0.76,28.88
2015-10-04,45,76.0,,0.76,34.2
2015-10-05,99,76.0,,0.76,75.24
2015-10-06,89,76.0,,0.76,67.64
2015-10-07,99,76.0,,0.76,75.24
2015-10-08,80,76.0,,0.76,60.8
