date,consume_unscaled,consume_monthly,isPartial,scale,consume
2010-12-09,55,42.0,,0.42,23.099999999999998
2010-12-10,50,42.0,,0.42,21.0
2010-12-11,28,42.0,,0.42,11.76
2010-12-12,37,42.0,,0.42,15.54
2010-12-13,88,42.0,,0.42,36.96
2010-12-14,40,42.0,,0.42,16.8
2010-12-15,28,42.0,,0.42,11.76
2010-12-16,49,42.0,,0.42,20.58
2010-12-17,38,42.0,,0.42,15.959999999999999
2010-12-18,29,42.0,,0.42,12.18
2010-12-19,100,42.0,,0.42,42.0
2010-12-20,15,42.0,,0.42,6.3
2010-12-21,43,42.0,,0.42,18.06
2010-12-22,85,42.0,,0.42,35.699999999999996
2010-12-23,42,42.0,,0.42,17.64
2010-12-24,31,42.0,,0.42,13.02
2010-12-25,0,42.0,,0.42,0.0
2010-12-26,32,42.0,,0.42,13.44
2010-12-27,24,42.0,,0.42,10.08
2010-12-28,55,42.0,,0.42,23.099999999999998
2010-12-29,0,42.0,,0.42,0.0
2010-12-30,40,42.0,,0.42,16.8
2010-12-31,55,42.0,,0.42,23.099999999999998
2011-01-01,72,48.0,False,0.48,34.56
2011-01-02,40,48.0,,0.48,19.2
2011-01-03,99,48.0,,0.48,47.519999999999996
2011-01-04,48,48.0,,0.48,23.04
2011-01-05,90,48.0,,0.48,43.199999999999996
2011-01-06,53,48.0,,0.48,25.439999999999998
2011-01-07,66,48.0,,0.48,31.68
2011-01-08,61,48.0,,0.48,29.279999999999998
2011-01-09,65,48.0,,0.48,31.2
2011-01-10,85,48.0,,0.48,40.8
2011-01-11,51,48.0,,0.48,24.48
2011-01-12,34,48.0,,0.48,16.32
2011-01-13,51,48.0,,0.48,24.48
2011-01-14,65,48.0,,0.48,31.2
2011-01-15,33,48.0,,0.48,15.84
2011-01-16,72,48.0,,0.48,34.56
2011-01-17,71,48.0,,0.48,34.08
2011-01-18,100,48.0,,0.48,48.0
2011-01-19,59,48.0,,0.48,28.32
2011-01-20,97,48.0,,0.48,46.559999999999995
2011-01-21,60,48.0,,0.48,28.799999999999997
2011-01-22,43,48.0,,0.48,20.64
2011-01-23,55,48.0,,0.48,26.4
2011-01-24,71,48.0,,0.48,34.08
2011-01-25,87,48.0,,0.48,41.76
2011-01-26,58,48.0,,0.48,27.84
2011-01-27,95,48.0,,0.48,45.6
2011-01-28,48,48.0,,0.48,23.04
2011-01-29,63,48.0,,0.48,30.24
2011-01-30,52,48.0,,0.48,24.96
2011-01-31,63,48.0,,0.48,30.24
2011-02-01,56,45.0,False,0.45,25.2
2011-02-02,54,45.0,,0.45,24.3
2011-02-03,65,45.0,,0.45,29.25
2011-02-04,44,45.0,,0.45,19.8
2011-02-05,66,45.0,,0.45,29.7
2011-02-06,47,45.0,,0.45,21.150000000000002
2011-02-07,33,45.0,,0.45,14.85
2011-02-08,77,45.0,,0.45,34.65
2011-02-09,36,45.0,,0.45,16.2
2011-02-10,83,45.0,,0.45,37.35
2011-02-11,55,45.0,,0.45,24.75
2011-02-12,60,45.0,,0.45,27.0
2011-02-13,88,45.0,,0.45,39.6
2011-02-14,100,45.0,,0.45,45.0
2011-02-15,76,45.0,,0.45,34.2
2011-02-16,79,45.0,,0.45,35.550000000000004
2011-02-17,90,45.0,,0.45,40.5
2011-02-18,28,45.0,,0.45,12.6
2011-02-19,30,45.0,,0.45,13.5
2011-02-20,75,45.0,,0.45,33.75
2011-02-21,87,45.0,,0.45,39.15
2011-02-22,89,45.0,,0.45,40.050000000000004
2011-02-23,60,45.0,,0.45,27.0
2011-02-24,79,45.0,,0.45,35.550000000000004
2011-02-25,78,45.0,,0.45,35.1
2011-02-26,68,45.0,,0.45,30.6
2011-02-27,73,45.0,,0.45,32.85
2011-02-28,84,45.0,,0.45,37.800000000000004
2011-03-01,61,50.0,False,0.5,30.5
2011-03-02,74,50.0,,0.5,37.0
2011-03-03,100,50.0,,0.5,50.0
2011-03-04,66,50.0,,0.5,33.0
2011-03-05,48,50.0,,0.5,24.0
2011-03-06,48,50.0,,0.5,24.0
2011-03-07,25,50.0,,0.5,12.5
2011-03-08,43,50.0,,0.5,21.5
2011-03-09,67,50.0,,0.5,33.5
2011-03-10,57,50.0,,0.5,28.5
2011-03-11,68,50.0,,0.5,34.0
2011-03-12,34,50.0,,0.5,17.0
2011-03-13,45,50.0,,0.5,22.5
2011-03-14,56,50.0,,0.5,28.0
2011-03-15,53,50.0,,0.5,26.5
2011-03-16,56,50.0,,0.5,28.0
2011-03-17,26,50.0,,0.5,13.0
2011-03-18,41,50.0,,0.5,20.5
2011-03-19,58,50.0,,0.5,29.0
2011-03-20,49,50.0,,0.5,24.5
2011-03-21,69,50.0,,0.5,34.5
2011-03-22,50,50.0,,0.5,25.0
2011-03-23,68,50.0,,0.5,34.0
2011-03-24,43,50.0,,0.5,21.5
2011-03-25,52,50.0,,0.5,26.0
2011-03-26,63,50.0,,0.5,31.5
2011-03-27,72,50.0,,0.5,36.0
2011-03-28,49,50.0,,0.5,24.5
2011-03-29,62,50.0,,0.5,31.0
2011-03-30,93,50.0,,0.5,46.5
2011-03-31,56,50.0,,0.5,28.0
2011-04-01,50,52.0,False,0.52,26.0
2011-04-02,37,52.0,,0.52,19.240000000000002
2011-04-03,78,52.0,,0.52,40.56
2011-04-04,78,52.0,,0.52,40.56
2011-04-05,69,52.0,,0.52,35.88
2011-04-06,59,52.0,,0.52,30.68
2011-04-07,64,52.0,,0.52,33.28
2011-04-08,54,52.0,,0.52,28.080000000000002
2011-04-09,68,52.0,,0.52,35.36
2011-04-10,42,52.0,,0.52,21.84
2011-04-11,62,52.0,,0.52,32.24
2011-04-12,100,52.0,,0.52,52.0
2011-04-13,75,52.0,,0.52,39.0
2011-04-14,72,52.0,,0.52,37.44
2011-04-15,91,52.0,,0.52,47.32
2011-04-16,61,52.0,,0.52,31.720000000000002
2011-04-17,26,52.0,,0.52,13.52
2011-04-18,83,52.0,,0.52,43.160000000000004
2011-04-19,93,52.0,,0.52,48.36
2011-04-20,87,52.0,,0.52,45.24
2011-04-21,97,52.0,,0.52,50.440000000000005
2011-04-22,53,52.0,,0.52,27.560000000000002
2011-04-23,58,52.0,,0.52,30.16
2011-04-24,78,52.0,,0.52,40.56
2011-04-25,100,52.0,,0.52,52.0
2011-04-26,54,52.0,,0.52,28.080000000000002
2011-04-27,46,52.0,,0.52,23.92
2011-04-28,74,52.0,,0.52,38.480000000000004
2011-04-29,61,52.0,,0.52,31.720000000000002
2011-04-30,79,52.0,,0.52,41.08
2011-05-01,64,52.0,False,0.52,33.28
2011-05-02,52,52.0,,0.52,27.04
2011-05-03,87,52.0,,0.52,45.24
2011-05-04,78,52.0,,0.52,40.56
2011-05-05,65,52.0,,0.52,33.800000000000004
2011-05-06,100,52.0,,0.52,52.0
2011-05-07,44,52.0,,0.52,22.880000000000003
2011-05-08,49,52.0,,0.52,25.48
2011-05-09,97,52.0,,0.52,50.440000000000005
2011-05-10,70,52.0,,0.52,36.4
2011-05-11,90,52.0,,0.52,46.800000000000004
2011-05-12,42,52.0,,0.52,21.84
2011-05-13,47,52.0,,0.52,24.44
2011-05-14,47,52.0,,0.52,24.44
2011-05-15,51,52.0,,0.52,26.52
2011-05-16,79,52.0,,0.52,41.08
2011-05-17,28,52.0,,0.52,14.56
2011-05-18,60,52.0,,0.52,31.200000000000003
2011-05-19,77,52.0,,0.52,40.04
2011-05-20,47,52.0,,0.52,24.44
2011-05-21,64,52.0,,0.52,33.28
2011-05-22,52,52.0,,0.52,27.04
2011-05-23,38,52.0,,0.52,19.76
2011-05-24,73,52.0,,0.52,37.96
2011-05-25,67,52.0,,0.52,34.84
2011-05-26,65,52.0,,0.52,33.800000000000004
2011-05-27,46,52.0,,0.52,23.92
2011-05-28,36,52.0,,0.52,18.72
2011-05-29,47,52.0,,0.52,24.44
2011-05-30,34,52.0,,0.52,17.68
2011-05-31,59,52.0,,0.52,30.68
2011-06-01,47,44.0,False,0.44,20.68
2011-06-02,24,44.0,,0.44,10.56
2011-06-03,69,44.0,,0.44,30.36
2011-06-04,32,44.0,,0.44,14.08
2011-06-05,48,44.0,,0.44,21.12
2011-06-06,42,44.0,,0.44,18.48
2011-06-07,29,44.0,,0.44,12.76
2011-06-08,42,44.0,,0.44,18.48
2011-06-09,60,44.0,,0.44,26.4
2011-06-10,69,44.0,,0.44,30.36
2011-06-11,31,44.0,,0.44,13.64
2011-06-12,48,44.0,,0.44,21.12
2011-06-13,54,44.0,,0.44,23.76
2011-06-14,53,44.0,,0.44,23.32
2011-06-15,72,44.0,,0.44,31.68
2011-06-16,30,44.0,,0.44,13.2
2011-06-17,51,44.0,,0.44,22.44
2011-06-18,81,44.0,,0.44,35.64
2011-06-19,49,44.0,,0.44,21.56
2011-06-20,23,44.0,,0.44,10.12
2011-06-21,29,44.0,,0.44,12.76
2011-06-22,53,44.0,,0.44,23.32
2011-06-23,42,44.0,,0.44,18.48
2011-06-24,38,44.0,,0.44,16.72
2011-06-25,32,44.0,,0.44,14.08
2011-06-26,66,44.0,,0.44,29.04
2011-06-27,100,44.0,,0.44,44.0
2011-06-28,64,44.0,,0.44,28.16
2011-06-29,60,44.0,,0.44,26.4
2011-06-30,62,44.0,,0.44,27.28
2011-07-01,30,39.0,False,0.39,11.700000000000001
2011-07-02,66,39.0,,0.39,25.740000000000002
2011-07-03,50,39.0,,0.39,19.5
2011-07-04,37,39.0,,0.39,14.43
2011-07-05,29,39.0,,0.39,11.31
2011-07-06,34,39.0,,0.39,13.26
2011-07-07,41,39.0,,0.39,15.99
2011-07-08,35,39.0,,0.39,13.65
2011-07-09,90,39.0,,0.39,35.1
2011-07-10,92,39.0,,0.39,35.88
2011-07-11,47,39.0,,0.39,18.330000000000002
2011-07-12,60,39.0,,0.39,23.400000000000002
2011-07-13,46,39.0,,0.39,17.94
2011-07-14,48,39.0,,0.39,18.72
2011-07-15,28,39.0,,0.39,10.92
2011-07-16,44,39.0,,0.39,17.16
2011-07-17,100,39.0,,0.39,39.0
2011-07-18,54,39.0,,0.39,21.060000000000002
2011-07-19,40,39.0,,0.39,15.600000000000001
2011-07-20,60,39.0,,0.39,23.400000000000002
2011-07-21,55,39.0,,0.39,21.45
2011-07-22,28,39.0,,0.39,10.92
2011-07-23,17,39.0,,0.39,6.63
2011-07-24,61,39.0,,0.39,23.79
2011-07-25,46,39.0,,0.39,17.94
2011-07-26,59,39.0,,0.39,23.01
2011-07-27,54,39.0,,0.39,21.060000000000002
2011-07-28,33,39.0,,0.39,12.870000000000001
2011-07-29,49,39.0,,0.39,19.11
2011-07-30,44,39.0,,0.39,17.16
2011-07-31,27,39.0,,0.39,10.530000000000001
2011-08-01,48,42.0,False,0.42,20.16
2011-08-02,24,42.0,,0.42,10.08
2011-08-03,66,42.0,,0.42,27.72
2011-08-04,60,42.0,,0.42,25.2
2011-08-05,12,42.0,,0.42,5.04
2011-08-06,100,42.0,,0.42,42.0
2011-08-07,16,42.0,,0.42,6.72
2011-08-08,23,42.0,,0.42,9.66
2011-08-09,35,42.0,,0.42,14.7
2011-08-10,30,42.0,,0.42,12.6
2011-08-11,48,42.0,,0.42,20.16
2011-08-12,25,42.0,,0.42,10.5
2011-08-13,39,42.0,,0.42,16.38
2011-08-14,23,42.0,,0.42,9.66
2011-08-15,48,42.0,,0.42,20.16
2011-08-16,54,42.0,,0.42,22.68
2011-08-17,67,42.0,,0.42,28.14
2011-08-18,31,42.0,,0.42,13.02
2011-08-19,56,42.0,,0.42,23.52
2011-08-20,39,42.0,,0.42,16.38
2011-08-21,38,42.0,,0.42,15.959999999999999
2011-08-22,30,42.0,,0.42,12.6
2011-08-23,52,42.0,,0.42,21.84
2011-08-24,47,42.0,,0.42,19.74
